event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per
UFC Freedom 250,48544433372ecfa6,7208e40818401e88,Ilia Topuria,54f64b5e283b0ce7,Justin Gaethje,9e8f6c728eb01124,lightweight,1,KO/TKO,4,300,5,Marc Goddard,1,97,162,59,111,177,63,1,3,33.0,0,152,55,112,49,37,45,82.0,5,5,100.0,68,125,54,22,29,76.0,7,8,88.0,56,38,5,70,22,7,0,91,192,47,119,228,52,0,5,0.0,0,92,79,175,45,8,12,67.0,4,5,80.0,73,167,44,15,21,71.0,3,4,75.0,86,8,4,80,16,3
UFC Freedom 250,48544433372ecfa6,5727d5be8c373346,Alex Pereira,e5549c82bfb5582d,Ciryl Gane,787bb1f087ccff8a,interim heavyweight,1,KO/TKO,2,87,5,Herb Dean,0,12,33,36,12,33,36,0,0,,0,0,3,20,15,1,3,33.0,8,10,80.0,12,33,36,0,0,,0,0,,25,8,66,100,0,0,1,54,86,62,54,86,63,0,2,0.0,0,12,39,71,55,4,4,100.0,11,11,100.0,36,66,55,3,3,100.0,15,17,88.0,72,7,20,66,5,27
UFC Freedom 250,48544433372ecfa6,60de0423ae6ed097,Sean O'Malley,b50a426a33da0012,Aiemann Zahabi,24656ef4d605c96f,bantamweight,0,KO/TKO,2,242,3,Jason Herzog,1,41,81,50,41,81,51,0,0,,0,2,32,66,48,7,13,54.0,2,2,100.0,41,81,51,0,0,,0,0,,78,17,4,100,0,0,0,32,56,57,32,56,56,0,0,,0,0,6,25,24,0,0,,26,31,84.0,32,56,56,0,0,,0,0,,18,0,81,100,0,0
UFC Freedom 250,48544433372ecfa6,30cdb851f6c63444,Josh Hokit,955da1675ad58a50,Derrick Lewis,d3df1add9d9a7efb,heavyweight,0,KO/TKO,2,249,3,Herb Dean,1,86,117,73,105,138,76,2,3,66.0,1,244,74,103,72,7,9,78.0,5,5,100.0,39,60,65,11,13,85.0,36,44,82.0,86,8,5,45,12,41,0,7,40,17,8,41,20,0,1,0.0,0,0,5,37,14,2,2,100.0,0,1,0.0,4,34,12,3,6,50.0,0,0,,71,28,0,57,42,0
UFC Freedom 250,48544433372ecfa6,9a9b30b3165b62e4,Mauricio Ruffy,9c393e836a852f30,Michael Chandler,4b93a88f3b1de35b,lightweight,0,KO/TKO,1,269,3,Mike Beltran,2,19,40,47,20,41,49,0,0,,0,13,16,36,44,1,2,50.0,2,2,100.0,17,37,46,0,0,,2,3,67.0,84,5,10,89,0,10,0,3,12,25,3,12,25,0,3,0.0,0,0,2,7,28,0,3,0.0,1,2,50.0,3,12,25,0,0,,0,0,,66,0,33,100,0,0
UFC Freedom 250,48544433372ecfa6,00e8d4b961a65d21,Bo Nickal,35673bf5204524ee,Kyle Daukaus,d6c0cdd7e467c440,middleweight,0,KO/TKO,1,274,3,Jason Herzog,1,16,24,66,44,53,83,1,1,100.0,0,194,15,23,65,0,0,,1,1,100.0,7,13,54,0,0,,9,11,82.0,93,0,6,43,0,56,0,2,7,28,26,31,84,0,0,,0,0,1,6,17,0,0,,1,1,100.0,2,7,28,0,0,,0,0,,50,0,50,100,0,0
UFC Freedom 250,48544433372ecfa6,127ba4a1ccb3d4a6,Diego Lopes,f166e93d04a8c274,Steve Garcia,97cf1a2c7c5e7889,featherweight,0,KO/TKO,2,162,3,Mike Beltran,1,24,66,36,24,66,36,0,1,0.0,0,5,21,57,37,2,8,25.0,1,1,100.0,17,58,28,0,0,,7,8,88.0,87,8,4,70,0,29,0,47,104,45,47,104,45,0,0,,0,0,33,89,37,3,4,75.0,11,11,100.0,47,104,45,0,0,,0,0,,70,6,23,100,0,0
UFC Fight Night: Muhammad vs. Bonfim,ba17afef01ed78b6,5c69b019e6deee41,Belal Muhammad,b1b0729d27936f2f,Gabriel Bonfim,01641ba5df0c69b0,welterweight,0,Decision - Unanimous,5,300,5,Herb Dean,0,86,275,31,86,275,31,0,2,0.0,0,8,52,228,23,22,33,67.0,12,14,86.0,86,273,32,0,2,0.0,0,0,,60,25,13,100,0,0,0,128,260,49,128,261,49,0,1,0.0,0,0,83,212,39,11,11,100.0,34,37,92.0,126,258,49,2,2,100.0,0,0,,64,8,26,98,1,0
UFC Fight Night: Muhammad vs. Bonfim,ba17afef01ed78b6,419fff06f338f5c6,Brendan Allen,2f181c0467965b98,Edmen Shahbazyan,4144798612ef96e5,middleweight,0,Decision - Unanimous,3,300,3,Dan Miragliotta,0,89,194,45,91,196,46,1,4,25.0,0,28,61,160,38,10,16,62.0,18,18,100.0,79,174,45,10,20,50.0,0,0,,68,11,20,88,11,0,0,90,180,50,90,180,50,0,1,0.0,0,8,83,171,49,4,4,100.0,3,5,60.0,85,173,49,5,7,71.0,0,0,,92,4,3,94,5,0
UFC Fight Night: Muhammad vs. Bonfim,ba17afef01ed78b6,58ffa2dac4f2e7d0,Fares Ziam,1e4f273069fb9e85,Tom Nolan,6c3b2525436cf5d4,lightweight,0,Decision - Unanimous,3,300,3,Jason Herzog,0,16,32,50,48,70,69,3,5,60.0,1,307,11,26,42,3,4,75.0,2,2,100.0,12,26,46,3,4,75.0,1,2,50.0,68,18,12,75,18,6,0,31,66,46,65,116,56,2,6,33.0,0,407,13,38,34,11,16,69.0,7,12,57.0,13,32,41,7,13,54.0,11,21,52.0,41,35,22,41,22,35
